DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
2951,114.5134238,21.69962986,99.999,9.999,99.999,9.999,22.456,0.127,20.336,0.039,19.241,0.068
2483,114.5136625,21.63618916,99.999,9.999,23.167,0.228,21.566,0.073,20.629,0.04,19.945,0.088
520,114.5137529,21.4461947,99.999,9.999,21.158,0.044,19.855,0.025,19.301,0.022,18.938,0.046
1529,114.5139194,21.52944864,21.553,0.133,19.348,0.013,18.475,0.016,18.176,0.013,17.971,0.031
1751,114.5139506,21.55042205,99.999,9.999,22.215,0.091,20.754,0.043,19.648,0.028,19.09,0.048
105,114.513976,21.40398527,20.791,0.068,18.871,0.012,18.124,0.017,17.872,0.033,17.735,0.024
32,114.5140059,21.39615316,99.999,9.999,22.116,0.085,20.51,0.041,19.771,0.031,19.372,0.05
1454,114.5140718,21.52226463,20.024,0.037,17.916,0.009,16.985,0.014,16.664,0.009,16.488,0.017
2987,114.5141124,21.70449538,99.999,9.999,21.233,0.05,19.991,0.025,19.498,0.021,19.234,0.065
2399,114.5143762,21.62601312,99.999,9.999,21.999,0.077,20.35,0.03,19.732,0.025,19.227,0.052
2521,114.5143841,21.64161747,22.104,0.226,19.58,0.017,18.121,0.009,17.311,0.016,16.849,0.011
1687,114.5145106,21.54467124,18.581,0.014,17.308,0.01,16.854,0.012,16.693,0.016,16.65,0.015
1354,114.5145169,21.51434772,99.999,9.999,22.833,0.175,21.384,0.074,20.426,0.046,20.29,0.149
2858,114.5145795,21.68935062,99.999,9.999,21.456,0.052,20.043,0.024,19.198,0.02,18.686,0.038
1905,114.5146704,21.56613287,99.999,9.999,23.063,0.21,21.747,0.082,20.635,0.052,19.968,0.089
2661,114.5147564,21.66069946,99.999,9.999,23.013,0.184,21.557,0.072,20.615,0.052,20.162,0.135
1380,114.5147722,21.5168142,99.999,9.999,23.638,0.374,22.244,0.165,21.328,0.095,20.737,0.204
1796,114.5147983,21.55507013,99.999,9.999,20.509,0.028,19.321,0.017,18.845,0.018,18.573,0.037
2779,114.5150737,21.67880397,99.999,9.999,22.203,0.114,20.725,0.067,19.966,0.077,19.531,0.082
2546,114.515174,21.64599035,18.46,0.016,17.164,0.01,16.719,0.017,16.589,0.02,16.544,0.012
1147,114.5155044,21.50084707,16.407,0.006,14.705,0.006,99.999,9.999,99.999,9.999,13.783,0.01
1446,114.5156388,21.52298121,17.335,0.008,16.22,0.008,15.839,0.013,15.708,0.01,15.668,0.017
1833,114.5158132,21.55875362,20.854,0.07,19.272,0.017,18.653,0.014,18.433,0.016,18.353,0.025
219,114.5158266,21.41883711,22.789,0.371,21.726,0.106,20.609,0.098,20.21,0.117,19.849,0.115
1598,114.5159641,21.53740277,22.593,0.307,19.927,0.018,18.71,0.016,18.238,0.015,17.971,0.028
2753,114.5160075,21.67516941,99.999,9.999,20.551,0.027,19.33,0.019,18.795,0.016,18.43,0.03
