DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
2996,290.3676909,37.80702512,18.892,0.02,17.418,0.005,16.848,0.008,16.66,0.01,16.573,0.017
5906,290.3677074,37.8733957,21.522,0.124,19.705,0.019,18.814,0.01,18.562,0.017,18.353,0.038
4346,290.3677133,37.83559917,99.999,9.999,20.798,0.027,19.972,0.023,19.72,0.029,19.524,0.106
3291,290.367747,37.81299735,21.805,0.21,20.616,0.025,20.308,0.034,20.156,0.036,19.933,0.121
2696,290.3677496,37.801003,20.022,0.045,18.308,0.008,17.629,0.007,17.416,0.011,17.32,0.02
6223,290.3677873,37.88178053,19.68,0.039,18.301,0.012,17.684,0.008,17.448,0.013,17.278,0.02
8641,290.367821,37.94911301,99.999,9.999,21.779,0.071,20.691,0.041,20.34,0.039,20.252,0.193
10291,290.367882,37.99901606,20.569,0.064,18.923,0.012,18.207,0.012,17.971,0.012,17.867,0.028
4942,290.3679682,37.84940324,99.999,9.999,22.033,0.063,21.14,0.044,20.894,0.067,20.858,0.351
8879,290.3679687,37.95603512,99.999,9.999,21.919,0.074,20.607,0.03,20.219,0.034,19.837,0.158
9293,290.3680004,37.9689379,17.635,0.014,15.893,0.013,15.186,0.013,14.95,0.009,14.839,0.011
5593,290.3680474,37.86471336,99.999,9.999,21.661,0.052,20.557,0.04,20.136,0.038,19.984,0.149
4552,290.3680537,37.8401677,19.949,0.043,18.502,0.009,17.861,0.008,17.633,0.013,17.566,0.025
1101,290.3681,37.77023877,99.999,9.999,19.751,0.016,18.309,0.01,17.689,0.015,17.301,0.02
3942,290.3681775,37.82665956,99.999,9.999,22.569,0.113,20.902,0.047,19.572,0.027,18.911,0.052
3816,290.3681784,37.82372042,22.295,0.328,20.127,0.037,19.094,0.018,18.754,0.018,18.57,0.06
7445,290.3681875,37.91478149,99.999,9.999,22.862,0.142,21.44,0.062,20.764,0.06,20.519,0.261
9189,290.3682361,37.96544532,99.999,9.999,22.843,0.16,21.231,0.067,20.628,0.058,20.257,0.238
8173,290.3682525,37.93555564,99.999,9.999,22.293,0.094,20.796,0.033,20.166,0.037,19.889,0.144
3842,290.3682705,37.82428062,18.476,0.018,16.56,0.007,15.723,0.005,15.444,0.007,15.297,0.018
1919,290.3682838,37.78488432,14.135,0.004,99.999,9.999,99.999,9.999,99.999,9.999,12.394,0.008
7990,290.3683049,37.93061849,99.999,9.999,22.842,0.137,21.492,0.076,20.833,0.059,99.999,9.999
5522,290.3683307,37.86294917,20.656,0.064,18.729,0.012,18,0.008,17.77,0.014,17.62,0.027
4630,290.3684298,37.8417966,99.999,9.999,23.269,0.21,21.848,0.107,20.833,0.073,20.508,0.239
7124,290.3685294,37.90611391,20.798,0.096,18.405,0.014,17.434,0.009,17.123,0.012,16.904,0.016
2827,290.3685668,37.80349869,22.296,0.284,20.95,0.032,20.294,0.025,20.053,0.042,20.011,0.172
6494,290.3685702,37.8884146,99.999,9.999,22.88,0.154,21.464,0.058,19.727,0.028,18.803,0.062
9771,290.3686618,37.98354316,19.892,0.046,18.131,0.013,17.325,0.011,17.006,0.008,16.808,0.016
5047,290.3686618,37.85176768,99.999,9.999,21.001,0.042,19.407,0.017,18.538,0.016,18.072,0.026
9356,290.3686952,37.97083652,99.999,9.999,19.969,0.019,18.606,0.013,18.065,0.01,17.72,0.022
6687,290.3687228,37.89361791,99.999,9.999,20.972,0.034,19.937,0.024,19.539,0.028,19.307,0.081
2265,290.3687456,37.79104924,99.999,9.999,22.021,0.066,21.435,0.072,20.981,0.082,99.999,9.999
6533,290.3687938,37.88953184,99.999,9.999,22.198,0.09,21.114,0.055,20.617,0.056,20.389,0.23
2027,290.368899,37.7867036,99.999,9.999,20.853,0.082,19.527,0.031,18.731,0.028,18.293,0.032
1127,290.3689261,37.7704664,19.899,0.039,18.569,0.011,17.971,0.013,17.718,0.022,17.651,0.033
5634,290.3690329,37.86549477,99.999,9.999,23.131,0.215,21.439,0.074,19.854,0.027,18.937,0.055
9802,290.3691826,37.98427136,99.999,9.999,20.633,0.03,19.199,0.016,18.465,0.014,17.933,0.028
6124,290.3691958,37.87857259,99.999,9.999,22.635,0.166,21.3,0.056,20.759,0.061,20.352,0.268
675,290.369207,37.7624339,99.999,9.999,21.097,0.036,19.538,0.017,18.551,0.018,17.981,0.024
3796,290.3692466,37.82287392,99.999,9.999,19.82,0.019,18.452,0.011,17.903,0.012,17.583,0.024
1441,290.3693302,37.77590692,99.999,9.999,21.477,0.07,20.931,0.048,20.689,0.059,20.909,0.365
4860,290.3693743,37.84715348,21.799,0.19,21.45,0.051,21.085,0.057,20.869,0.081,20.759,0.315
3119,290.3694098,37.80884522,20.22,0.047,17.737,0.009,16.742,0.009,16.444,0.009,16.254,0.021
2525,290.3695312,37.79654642,19.875,0.05,17.853,0.007,17.055,0.008,16.805,0.009,16.708,0.017
10117,290.3696259,37.99307528,99.999,9.999,23.73,0.341,21.658,0.096,20.978,0.078,20.509,0.296
1900,290.3696719,37.7840968,19.741,0.038,18.293,0.018,17.808,0.027,17.686,0.066,17.467,0.026
5155,290.3696974,37.85401542,99.999,9.999,22.612,0.144,21.102,0.047,20.399,0.062,20.216,0.199
7166,290.3697542,37.90670146,15.967,0.011,14.61,0.008,14.11,0.01,99.999,9.999,13.921,0.02
3245,290.3697562,37.81124787,21.131,0.11,19.019,0.01,18.281,0.01,18.006,0.017,17.924,0.036
6672,290.3698586,37.89291939,22.547,0.359,20.874,0.043,20.249,0.033,20.038,0.031,20.137,0.208
7247,290.3698766,37.908826,99.999,9.999,20.46,0.025,19.275,0.018,18.789,0.017,18.52,0.051
2763,290.3699218,37.80147694,21.529,0.166,19.998,0.018,19.404,0.016,19.191,0.02,19.101,0.063
10191,290.3700853,37.99534486,99.999,9.999,22.906,0.205,21.406,0.082,20.091,0.042,19.159,0.078
6473,290.3700883,37.88745937,99.999,9.999,21.217,0.04,20.711,0.042,20.467,0.038,20.46,0.229
53,290.3700973,37.75251067,99.999,9.999,23.321,0.266,21.592,0.081,20.85,0.071,20.438,0.252
6227,290.3701613,37.88092326,99.999,9.999,22.759,0.151,21.287,0.062,20.572,0.057,20.093,0.203
7667,290.3702001,37.92078574,99.999,9.999,22.375,0.106,20.881,0.042,20.168,0.034,19.701,0.139
8750,290.3702604,37.95118858,99.999,9.999,21.899,0.068,20.329,0.032,19.092,0.019,18.376,0.038
6675,290.3702793,37.89278356,21.217,0.097,19.884,0.019,19.232,0.015,18.973,0.019,18.854,0.064
1965,290.3704167,37.78476363,20.979,0.1,19.404,0.028,18.848,0.03,18.701,0.033,18.541,0.041
6429,290.3704849,37.88607207,99.999,9.999,20.978,0.084,19.52,0.095,18.981,0.096,18.695,0.107
2201,290.370489,37.78915236,21.973,0.215,20.519,0.022,19.737,0.02,19.485,0.027,19.417,0.105
984,290.3705847,37.76704036,99.999,9.999,23.149,0.222,21.885,0.123,20.383,0.035,19.372,0.105
4704,290.3705852,37.84305199,99.999,9.999,21.654,0.058,20.518,0.038,19.962,0.054,19.569,0.125
9181,290.3706448,37.96413794,21.201,0.135,19.418,0.018,18.691,0.009,18.445,0.014,18.284,0.033
6297,290.3706528,37.88266141,17.784,0.019,16.335,0.011,15.738,0.008,15.534,0.011,15.421,0.017
6885,290.3706763,37.89849689,99.999,9.999,22.403,0.098,20.941,0.049,19.974,0.032,19.441,0.081
7031,290.370712,37.90273166,99.999,9.999,23.329,0.255,21.559,0.076,20.675,0.06,20.434,0.252
8814,290.3707395,37.95279402,99.999,9.999,19.552,0.018,18.319,0.011,17.828,0.014,17.56,0.022
3246,290.3707491,37.81089415,99.999,9.999,22.386,0.089,21.638,0.07,21.125,0.091,99.999,9.999
